"objid","bezeichnung","name","ori","hali","vali","geometry"
"1","Kreis 2","2","0.0","1","2","POINT (2682618 1244460.1)"
"2","Kreis 8","8","0.0","1","2","POINT (2684563.2 1245189.5)"
"3","Kreis 11","11","0.0","1","2","POINT (2682008 1252838.2)"
"4","Kreis 12","12","0.0","1","2","POINT (2685728 1250849.8)"
"5","Kreis 10","10","0.0","1","2","POINT (2680073.2 1251170.9)"
"6","Kreis 6","6","0.0","1","2","POINT (2683655.5 1249630.9)"
"7","Kreis 9","9","0.0","1","2","POINT (2678808.8 1248642.1)"
"8","Kreis 5","5","0.0","1","2","POINT (2681645.5 1249160.9)"
"9","Kreis 4","4","0.0","1","2","POINT (2681580.8 1248204.5)"
"10","Kreis 1","1","0.0","1","2","POINT (2683266.5 1247475.1)"
"11","Kreis 7","7","0.0","1","2","POINT (2686038.2 1247329.1)"
"12","Kreis 3","3","0.0","1","2","POINT (2680689.2 1246243.1)"
